Feature	Importance
Visa_msaldototal_ranked_delta2	752.4848392724991
Visa_msaldopesos_delta2	749.0537467002869
Visa_cconsumos_lag2	695.7560140013695
mtarjeta_visa_consumo_delta2	674.3279267430305
Visa_mconsumosdolares_ranked_delta1	656.6611333727836
cextraccion_autoservicio_delta1	639.4309952497482
ctarjeta_master_debitos_automaticos	614.6308219790459
ccaja_ahorro_lag1	602.9871600389481
Visa_mconsumosdolares_delta1	597.7835387229919
Visa_mfinanciacion_limite_lag2	593.8439073681832
Master_mpagospesos_ranked_lag1	587.8904713153839
Visa_fultimo_cierre_lag1	584.8094485044479
mprestamos_prendarios	583.0646553516387
cinversion2	496.4630406618118
Visa_mlimitecompra_lag1	495.57696655988696
mcomisiones_mantenimiento_lag2	459.03821885585785
Visa_mlimitecompra_ranked_delta2	453.1268209457397
Master_mlimitecompra_ranked_delta2	445.52093942165374
cseguro_accidentes_personales	390.03787804841994
cmobile_app_trx_lag1	389.6896288394928
Master_mlimitecompra_lag1	368.070396733284
thomebanking_lag1	312.0943524122238
ctransferencias_recibidas_lag2	247.46431269049646
ccomisiones_mantenimiento_lag2	201.3962408542633
cliente_edad_delta2	194.47850890159606
ccajas_depositos_delta1	167.16051843166352
foto_mes	52.625336503982545
