Feature	Importance
cpagomiscuentas_lag1	16.74745360761881
mtarjeta_visa_consumo_ranked_lag1	16.416475296020508
ctarjeta_master_debitos_automaticos	16.06933119148016
Master_mlimitecompra_ranked_delta2	15.874785706400871
ctrx_quarter_lag2	15.812639025971293
mcomisiones_mantenimiento_ranked_lag1	15.79007956944406
mpayroll_lag1	15.60576731339097
Visa_mconsumospesos_delta2	15.52932688780129
thomebanking_lag1	15.507769339717925
mextraccion_autoservicio_ranked_lag1	15.360551406629384
mtransferencias_recibidas_delta2	15.250288302078843
matm	15.090646358206868
Master_mlimitecompra_lag1	14.948674122802913
cpayroll_trx_lag1	14.728301167488098
mtarjeta_master_consumo_delta1	14.092529414221644
mautoservicio_ranked_delta2	14.07351802662015
mprestamos_prendarios	14.06661680713296
mprestamos_personales_lag1	13.703465456143022
Master_mpagominimo_ranked_delta1	13.665293596684933
Visa_mpagado_ranked	13.62358995527029
Visa_msaldopesos_delta2	13.579940190538764
mcomisiones_mantenimiento_lag2	13.540640629827976
ccajas_consultas_delta1	13.4327113032341
ccaja_ahorro_lag1	13.134388133883476
Master_mfinanciacion_limite_ranked_delta2	12.93166674952954
Visa_msaldodolares	12.71089456602931
mcomisiones_delta2	12.681749628856778
Master_msaldopesos_delta1	12.566628359258175
Visa_msaldopesos_lag1	12.19296951033175
Visa_mconsumosdolares_ranked_delta1	12.12244974821806
ccajas_depositos_delta1	11.93725049495697
mprestamos_personales_ranked_lag1	11.696910499595106
mcuenta_debitos_automaticos_delta1	11.64903399348259
mforex_sell_ranked_delta1	11.481047537177801
Visa_mfinanciacion_limite_ranked_delta2	11.449692075140774
Visa_mconsumosdolares_delta1	11.346086170524359
Master_mpagospesos_lag1	11.27730164071545
cextraccion_autoservicio_delta1	11.120753588154912
Visa_mpagado_delta1	11.119803383946419
Visa_mlimitecompra_ranked_delta2	11.01397400163114
Visa_mconsumosdolares_ranked_lag1	10.995808441191912
cliente_edad_delta2	10.896284773945808
Visa_msaldototal_delta1	10.823737408500165
tcuentas_lag1	10.8181236628443
Master_mpagominimo_lag1	10.815034874714911
Visa_mconsumosdolares_ranked	10.750750868581235
mtransferencias_emitidas_delta2	10.574807172641158
ccomisiones_mantenimiento_lag2	10.547620823606849
Visa_msaldodolares_ranked	10.546729892492294
Master_mconsumospesos_lag1	10.528335705399513
matm_delta1	10.071664221584797
mtarjeta_visa_consumo_delta2	10.056257008574903
mpagomiscuentas_ranked_delta1	10.002782735042274
mcomisiones_otras_delta2	9.937927454710007
mautoservicio_lag1	9.838868640828878
Visa_msaldototal_delta2	9.588424665853381
Master_mlimitecompra_ranked_lag1	9.465391682460904
matm_ranked	9.401821039617062
mttarjeta_visa_debitos_automaticos_ranked_lag1	9.401162909343839
Visa_msaldopesos_lag2	9.3501489716582
ctransferencias_recibidas_delta2	9.279845805838704
Master_mpagospesos_ranked	9.188878260552883
Visa_mpagado_lag2	9.14607783779502
mprestamos_personales_ranked_delta2	9.11894378811121
matm_delta2	9.099334634840488
Visa_Fvencimiento_delta1	8.754090037196875
mcaja_ahorro_dolares_ranked_delta2	8.741179998964071
Master_mpagospesos_delta1	8.702341698110104
Master_msaldopesos_ranked_delta1	8.687777632847428
cpagomiscuentas_lag2	8.65005904994905
mcuenta_debitos_automaticos_ranked_delta2	8.548038315027952
ctarjeta_master_transacciones_delta1	8.320028863847256
mtarjeta_visa_consumo_lag2	8.278568971902132
thomebanking_delta2	8.2265306673944
mextraccion_autoservicio_lag2	8.125858031213284
mpasivos_margen_lag2	8.021220287308097
mpagomiscuentas_delta2	7.964767981786281
Master_mconsumospesos_delta2	7.948915868997574
Master_mpagominimo_ranked_lag1	7.78768615052104
cseguro_vivienda_lag1	7.535820126533508
Master_mpagado	7.488892398774624
Master_mpagospesos	7.328618329018354
mpayroll_delta2	7.246213734149933
ccajas_transacciones_lag1	7.238720059394836
ctarjeta_master_transacciones	7.161212953738868
cextraccion_autoservicio_lag2	7.057372126728296
Master_msaldototal_ranked_delta2	6.902084946632385
Visa_msaldototal_lag2	6.8652698546648026
ctarjeta_debito_transacciones_lag2	6.865174802020192
mpayroll_delta1	6.797054687514901
mtarjeta_master_consumo_lag1	6.636727549135685
mautoservicio_ranked_lag1	6.617334986105561
mpagomiscuentas_lag2	6.056993510574102
Master_fultimo_cierre_lag1	5.989044338464737
mrentabilidad_annual_ranked_lag2	5.94949290342629
Master_mconsumospesos_ranked_delta2	5.87399497628212
Master_fechaalta_delta1	5.872099965810776
cextraccion_autoservicio_delta2	5.817786231637001
mtarjeta_master_consumo_ranked_delta1	5.237819103524089
matm_ranked_delta2	5.218810006976128
cmobile_app_trx_lag2	5.151063144207001
tcuentas	5.066171161830425
cproductos_lag2	4.9979337602853775
ctarjeta_visa_transacciones_delta2	4.889363743364811
mforex_sell_delta1	4.7952070236206055
Master_mpagado_lag1	4.76676420122385
mplazo_fijo_dolares_ranked_delta1	4.49039738252759
cextraccion_autoservicio_lag1	4.289197534322739
Master_status_lag1	4.269012480974197
mtarjeta_master_consumo_ranked_lag1	4.240219922736287
minversion1_pesos	4.233170159161091
matm_other	4.225522135384381
mactivos_margen_ranked_lag2	4.132365737110376
ctransferencias_emitidas_delta2	4.102001380175352
mtransferencias_emitidas_lag2	4.05494321603328
Visa_mconsumospesos_lag2	3.9842628948390484
mextraccion_autoservicio_ranked_delta2	3.9385235272347927
cprestamos_personales_delta2	3.903910342603922
mextraccion_autoservicio_delta2	3.875562459230423
Master_fultimo_cierre_delta1	3.8195785135030746
ctarjeta_visa_debitos_automaticos_delta1	3.80133219063282
cmobile_app_trx_delta2	3.747758276760578
ctarjeta_visa_transacciones_lag2	3.6167751289904118
mautoservicio_lag2	3.609516929835081
mcuenta_debitos_automaticos_delta2	3.5615319237113
Master_msaldopesos_lag1	3.558018108829856
Master_mpagominimo_delta1	3.508671820163727
mprestamos_personales_delta2	3.487211227416992
matm_other_ranked	3.331775024533272
Master_mconsumospesos_ranked_delta1	3.1604387313127518
mttarjeta_master_debitos_automaticos	3.137961909174919
mcaja_ahorro_dolares_lag2	3.137436233460903
mpayroll_norm_ranked_lag1	3.1071687191724777
Master_mconsumospesos_delta1	3.0976359006017447
mcaja_ahorro_dolares_delta2	3.076620342209935
mcomisiones_otras_ranked_lag2	3.075799748301506
ctarjeta_debito_lag2	3.064668744802475
Master_mconsumospesos_ranked_lag1	3.0555987656116486
Master_msaldototal_delta1	3.031598776578903
cmobile_app_trx_delta1	2.9966143649071455
Visa_fultimo_cierre_delta1	2.8813052847981453
mttarjeta_master_debitos_automaticos_ranked_lag1	2.7314212918281555
Master_msaldopesos_ranked_lag1	2.720863711088896
cprestamos_personales_lag1	2.687135755084455
ctransferencias_emitidas_delta1	2.6850007474422455
ctarjeta_master_debitos_automaticos_lag1	2.4855764331296086
mcuenta_corriente_ranked_lag2	2.459658917039633
mcuenta_debitos_automaticos_lag2	2.455110013484955
Visa_mlimitecompra_lag2	2.4365174472332
foto_mes	2.386184588074684
mtransferencias_emitidas_ranked_delta2	2.36643036454916
Master_msaldototal_ranked_lag1	2.2529381308704615
ccuenta_debitos_automaticos_delta1	2.243246227502823
cseguro_vivienda	2.2220295891165733
Visa_Fvencimiento_delta2	2.1950962245464325
mprestamos_prendarios_ranked	2.1918790005147457
ctarjeta_visa_debitos_automaticos_delta2	2.190260022878647
Master_cconsumos_delta2	2.1728135980665684
internet_lag2	2.1503786742687225
Visa_mconsumosdolares_lag2	2.0980135779827833
mtarjeta_master_consumo_ranked_delta2	2.042841225862503
mcaja_ahorro_ranked_lag2	2.0253579020500183
mrentabilidad_ranked_lag2	2.008806273341179
Master_mlimitecompra_delta1	2.0041562914848328
mttarjeta_master_debitos_automaticos_ranked	1.969793677330017
Master_msaldopesos_ranked_delta2	1.968342363834381
mcuentas_saldo_ranked_lag2	1.9363205321133137
Master_mpagado_ranked_lag1	1.8520806431770325
mttarjeta_master_debitos_automaticos_lag1	1.8311800062656403
ccajas_transacciones_delta1	1.8219076544046402
mplazo_fijo_dolares_delta1	1.8175685182213783
ccuenta_debitos_automaticos_delta2	1.7038649916648865
Master_mconsumospesos_lag2	1.6605847515165806
Master_cconsumos	1.6529038809239864
mpayroll_norm_ranked_delta2	1.6362362205982208
Visa_mpagado_ranked_lag1	1.562172532081604
Visa_mpagado_ranked_delta2	1.5448425114154816
ccajas_extracciones_delta1	1.5167012512683868
cpayroll_trx_lag2	1.4865962713956833
mautoservicio_delta2	1.47512336820364
Visa_mconsumototal_ranked_delta1	1.4742562770843506
ccuenta_debitos_automaticos_lag1	1.4488487541675568
Master_mpagado_lag2	1.4281137585639954
ccajas_extracciones	1.4249236285686493
ctransferencias_emitidas_lag1	1.4220654889941216
Visa_msaldodolares_lag1	1.3877599835395813
Master_mlimitecompra_lag2	1.3766531348228455
cpagomiscuentas_delta2	1.303573727607727
matm_lag2	1.2897387593984604
ccheques_depositados_lag1	1.2864771205931902
ccajas_consultas_lag1	1.2736423909664154
tmobile_app_lag1	1.2411474585533142
mcomisiones_ranked_lag2	1.2136842757463455
Visa_mpagado_lag1	1.1973350048065186
active_quarter_lag1	1.1758500337600708
cseguro_vivienda_lag2	1.1134406253695488
tcallcenter_delta2	1.04746725410223
ccallcenter_transacciones_lag2	1.0188150107860565
Visa_mpagospesos_ranked_lag2	1.0093128830194473
tcallcenter	0.9880650043487549
cdescubierto_preacordado_lag2	0.9688849747180939
Visa_mpagominimo_ranked_lag2	0.8485887572169304
Visa_mconsumosdolares_delta2	0.8442699909210205
mpayroll_ranked_delta2	0.8391937613487244
Master_Fvencimiento_delta1	0.8377100229263306
mtransferencias_recibidas_ranked_lag2	0.8116046339273453
Master_mfinanciacion_limite_delta1	0.8030180037021637
Master_cconsumos_delta1	0.7860454954206944
Master_msaldototal_lag1	0.7499012351036072
matm_other_ranked_delta1	0.7344925254583359
Master_mpagado_ranked	0.724077507853508
cinversion1	0.7081461157649755
Visa_mpagado_ranked_delta1	0.7034587264060974
catm_trx_lag2	0.6956599950790405
mttarjeta_master_debitos_automaticos_delta1	0.6895774900913239
cpagomiscuentas_delta1	0.6895574927330017
Master_mpagominimo_lag2	0.6885162591934204
minversion2_ranked	0.6020790040493011
mpayroll_norm_lag1	0.5988900065422058
mcaja_ahorro_dolares_ranked_lag2	0.5961937308311462
Master_mpagado_ranked_delta2	0.5568600296974182
matm_other_lag2	0.5485262274742126
matm_lag1	0.5451003052294254
mtransferencias_emitidas_ranked_lag2	0.5439887642860413
Visa_mconsumototal_ranked_delta2	0.5339174866676331
minversion1_pesos_ranked	0.5308920107781887
Visa_msaldodolares_ranked_lag1	0.49263501167297363
thomebanking_lag2	0.48330625891685486
Visa_mconsumototal	0.4732537567615509
Visa_mpagado_ranked_lag2	0.45832826010882854
mcomisiones_mantenimiento_ranked_lag2	0.45646523870527744
Visa_mpagosdolares_ranked_delta1	0.45061125606298447
Master_mconsumototal_ranked_lag1	0.4474412500858307
ccallcenter_transacciones_delta2	0.4336337447166443
Visa_mconsumototal_delta1	0.4306264892220497
mcheques_emitidos	0.4283687472343445
mpagomiscuentas_ranked_lag2	0.42537251114845276
Master_mpagado_ranked_lag2	0.4116412401199341
mttarjeta_visa_debitos_automaticos_lag2	0.39636749029159546
mcuenta_debitos_automaticos_ranked_lag2	0.39478498697280884
catm_trx_other	0.39041873812675476
Visa_status_delta1	0.3894124925136566
Visa_msaldodolares_delta1	0.37234124541282654
minversion2	0.36700887233018875
ccajas_transacciones_delta2	0.3602762520313263
cseguro_vida	0.33387500047683716
Master_msaldopesos_delta2	0.3294963650405407
ctarjeta_visa_delta2	0.3264150023460388
Visa_msaldototal_ranked_lag2	0.30604537576436996
mpayroll_norm_delta1	0.30420249700546265
Visa_mconsumosdolares_ranked_delta2	0.3029162585735321
Visa_mpagosdolares_ranked	0.29600873589515686
ctarjeta_visa_delta1	0.2955787479877472
Master_mpagado_ranked_delta1	0.2933124899864197
catm_trx_lag1	0.2932099997997284
matm_other_ranked_lag1	0.2535037398338318
mautoservicio_ranked_lag2	0.24981124699115753
mttarjeta_master_debitos_automaticos_ranked_delta1	0.24091662466526031
matm_other_delta1	0.23023000359535217
tcuentas_lag2	0.22498874366283417
mcheques_depositados	0.22472337633371353
ctarjeta_visa_debitos_automaticos_lag2	0.2167503759264946
Master_mpagospesos_lag2	0.21216624975204468
mprestamos_personales_lag2	0.1941741220653057
ccaja_ahorro_lag2	0.18853500485420227
mpayroll_lag2	0.182583749294281
active_quarter_lag2	0.16237999498844147
Visa_cconsumos_delta2	0.1535312533378601
Visa_mpagosdolares	0.15139375627040863
Visa_mfinanciacion_limite_ranked_lag2	0.13573375344276428
mplazo_fijo_dolares_lag1	0.12516875565052032
mpayroll_norm_ranked_lag2	0.11504587531089783
ccajas_depositos	0.10795262455940247
mcheques_depositados_lag1	0.09317837655544281
cpayroll_trx_delta1	0.08911799639463425
Master_mfinanciacion_limite_ranked_lag2	0.07280624657869339
cdescubierto_preacordado_lag1	0.0649188756942749
Master_msaldototal_delta2	0.04172462597489357
mcheques_depositados_ranked_lag1	0.041517000645399094
mttarjeta_master_debitos_automaticos_delta2	0.02191912569105625
mcuenta_corriente_adicional_ranked_delta2	0.0
mcheques_emitidos_rechazados	0.0
mcuenta_corriente_adicional_ranked_lag1	0.0
